"location","label","date","personnel","songs"
"Los Angeles, CA","Flair","1954","['Blinky Allen (d)', 'Abbey Lincoln (v)']","[""I'm A Fool To Care"", 'An Angel Cried']"
"Hollywood, CA","","ca.  1956","['Abbey Lincoln (v)']","['Spread The Word']"
"Hollywood, CA","Liberty","July 1956","['Abbey Lincoln (v)']","['Lonesome Cup Of Coffee', ""She Didn't Say Yes"", 'Warm Valley [lyric version]', 'You Do Something To Me', ""Do Nothin' Till You Hear From Me"", 'The Answer Is No']"
"Hollywood, CA","Liberty","November 5 & 6, 1956","['Abbey Lincoln (v)']","['Love Walked In', ""I Didn't Know About You"", 'I Wake Up Smiling', 'Crazy He Calls Me', 'Take Me In Your Arms', 'No More']"
"Hollywood, CA","Liberty","ca.  November 5, 1956","['Abbey Lincoln (v)']","['Would I Love You', ""This Can't Be Love"", 'Two Cigarettes In The Dark', 'The Masquerade Is Over', 'Together', 'Affair']"
"New York City","Riverside","October 28, 1957","['Sonny Rollins (ts)', 'Kenny Dorham (t)', 'Wynton Kelly (pb)', 'Paul Chambers (b)', 'Max Roach (d)', 'Abbey Lincoln (v)']","['Strong Man', 'Happiness Is A Thing Called Joe', 'My Man', 'Tender As A Rose', ""That's Him"", 'I Must Have That Man', 'I Loves You Porgy', 'When A Woman Loves A Man', ""Don't Explain""]"
"Reeves Sound Studios, New York City","Riverside","July 24, 1958","['Jerome Richardson (fbar)', 'Benny Golson (ts)', 'Kenny Dorham (t)', 'Curtis Fuller (tb)', 'Wynton Kelly (p)', 'Paul Chambers (b)', 'Philly Joe Jones (d)', 'Abbey Lincoln (v)']","['Just For Me', 'An Occasional Man', 'Music, Maestro, Please', ""Ain't Nobody's Business If I Do"", 'Exactly Like You']"
"Reeves Sound Studios, New York City","Riverside","August 15, 1958","['Sahib Shihab (fbar)', 'Benny Golson (ts)', 'Art Farmer (t)', 'Curtis Fuller (tb)', 'Wynton Kelly (p)', 'Sam Jones (b)', 'Philly Joe Jones (d)', 'Abbey Lincoln (v)']","['I Am In Love', 'Love', ""It's Magic"", 'Out Of The Past', 'Little Niles']"
"Hollywood, CA","Calliope","September 29, 1958","['Buddy Collette (fas)', 'Gerald Wilson (t)', 'Al Viola (g)', 'Red Callender (b)', 'Earl Palmer (d)', 'Abbey Lincoln (v)']","['Out Of The Past', 'When A Woman Loves A Man']"
"Reeves Sound Studios, New York City","Riverside","March 25, 1959","['Kenny Dorham (t)', 'Les Spann (g)', 'Phil Wright (p)', 'Sam Jones (b)', 'Philly Joe Jones (d)', 'Abbey Lincoln (v)']","['Come Sunday', 'Softly, As In A Morning Sunrise', 'Lost In The Stars']"
"Reeves Sound Studios, New York City","Riverside","March 26, 1959","['Les Spann (fg)', 'Kenny Dorham (t)', 'Wynton Kelly (p)', 'Sam Jones (b)', 'Philly Joe Jones (d)', 'Abbey Lincoln (v)']","[""Thursday's Child"", 'Brother, Where Are You?', 'Hum Drum Blues', ""I'll Drown In My Own Tears""]"
"Reeves Sound Studios, New York City","Riverside","May 12, 1959","['Kenny Dorham (t)', 'Les Spann (g)', 'Wynton Kelly (p)', 'Sam Jones (b)', 'Philly Joe Jones (d)', 'Abbey Lincoln (v)']","['Lonely House']"
"Universal Recording, Chicago, IL","Mercury","October 9 & 10, 1959","['Stanley Turrentine (ts)', 'Tommy Turrentine (t)', 'Julian Priester (tb)', 'Ray Bryant (p)', 'Bobby Boswell (b)', 'Max Roach (d)', 'Abbey Lincoln (v)']","['Speak Low', 'Never Let Me Go', 'Come Rain Or Come Shine', 'Namely You', 'Moon-Faced And Starry-Eyed', 'Wild Is The Wind', ""You're Mine, You"", ""You're My Thrill"", 'I Concentrate On You', 'Never Leave Me']"
"Reeves Sound Studios, New York City","Riverside","ca.  November 1959","['Stanley Turrentine (ts)', 'Tommy Turrentine (t)', 'Julian Priester (tb)', 'Cedar Walton (p)', 'Bobby Boswell (b)', 'Max Roach (d)', 'Abbey Lincoln (v)']","['Afro-Blue', 'Let Up', 'Laugh, Clown, Laugh', ""Long As You're Living""]"
