"source","target","type","label"
"Susan Niedel-Palma","Susan Rotholv","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Niedel-Palma","James Spaulding","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Niedel-Palma","Steve Hartman","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Niedel-Palma","Shari Hoffman","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Niedel-Palma","Julien Lourau","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Niedel-Palma","Bob Carlisle","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Niedel-Palma","Dan Culpepper","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Niedel-Palma","Jeff Lang","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Niedel-Palma","Stewart Rose","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Niedel-Palma","Kenny Barron","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Niedel-Palma","Ray Drummond","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Niedel-Palma","Jaz Sawyer","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Niedel-Palma","Sanford Allen","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Niedel-Palma","Jonathan Dinklege","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Niedel-Palma","Joyce Hammann","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Niedel-Palma","Ashley Horn","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Niedel-Palma","Regis Iandiorio","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Niedel-Palma","Pauline Kim","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Niedel-Palma","Belinda Whitney","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Niedel-Palma","Kristof Witek","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Niedel-Palma","Robin Zeh","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Niedel-Palma","Ted Ackerman","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Niedel-Palma","Akua Dixon Turre","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Niedel-Palma","David Heiss","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Niedel-Palma","Ariane Lallemand","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Niedel-Palma","Richard Locker","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Niedel-Palma","Alexandra McKenzie","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Niedel-Palma","Kermit Moore","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Niedel-Palma","Abbey Lincoln","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Niedel-Palma","Alan Broadbent","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Niedel-Palma","Laurent Cugny","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Rotholv","James Spaulding","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Rotholv","Steve Hartman","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Rotholv","Shari Hoffman","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Rotholv","Julien Lourau","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Rotholv","Bob Carlisle","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Rotholv","Dan Culpepper","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Rotholv","Jeff Lang","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Rotholv","Stewart Rose","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Rotholv","Kenny Barron","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Rotholv","Ray Drummond","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Rotholv","Jaz Sawyer","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Rotholv","Sanford Allen","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Rotholv","Jonathan Dinklege","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Rotholv","Joyce Hammann","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Rotholv","Ashley Horn","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Rotholv","Regis Iandiorio","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Rotholv","Pauline Kim","undirected","November 25-27, 2002, Sear Sound, New York City"
"Susan Rotholv","Belinda Whitney","undirected","November 25-27, 2002, Sear Sound, New York City"
