"source","target","type","label"
"John Ormond","Brandon McCune","undirected","ca.  September 2000, Ford Detroit International Jazz Festival, Detroit, MI"
"John Ormond","Jaz Sawyer","undirected","ca.  September 2000, Ford Detroit International Jazz Festival, Detroit, MI"
"John Ormond","Abbey Lincoln","undirected","ca.  September 2000, Ford Detroit International Jazz Festival, Detroit, MI"
"Brandon McCune","Jaz Sawyer","undirected","ca.  September 2000, Ford Detroit International Jazz Festival, Detroit, MI"
"Brandon McCune","Abbey Lincoln","undirected","ca.  September 2000, Ford Detroit International Jazz Festival, Detroit, MI"
"Jaz Sawyer","Abbey Lincoln","undirected","ca.  September 2000, Ford Detroit International Jazz Festival, Detroit, MI"
"Marc Cary","John Ormond","undirected","October 30, 1999, Oosterpoort, Gröningen, Netherlands"
"Marc Cary","Jaz Sawyer","undirected","October 30, 1999, Oosterpoort, Gröningen, Netherlands"
"Marc Cary","Abbey Lincoln","undirected","October 30, 1999, Oosterpoort, Gröningen, Netherlands"
"John Ormond","Jaz Sawyer","undirected","October 30, 1999, Oosterpoort, Gröningen, Netherlands"
"John Ormond","Abbey Lincoln","undirected","October 30, 1999, Oosterpoort, Gröningen, Netherlands"
"Jaz Sawyer","Abbey Lincoln","undirected","October 30, 1999, Oosterpoort, Gröningen, Netherlands"
"Jennifer Vincent","Joe Lovano","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Jennifer Vincent","Jaz Sawyer","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Jennifer Vincent","Kendra Shank","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Jennifer Vincent","John Ormond","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Jennifer Vincent","Brandon McCune","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Jennifer Vincent","Jerry Gonzalez","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Jennifer Vincent","Abbey Lincoln","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Joe Lovano","Jaz Sawyer","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Joe Lovano","Kendra Shank","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Joe Lovano","John Ormond","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Joe Lovano","Brandon McCune","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Joe Lovano","Jerry Gonzalez","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Joe Lovano","Abbey Lincoln","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Jaz Sawyer","Kendra Shank","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Jaz Sawyer","John Ormond","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Jaz Sawyer","Brandon McCune","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Jaz Sawyer","Jerry Gonzalez","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Jaz Sawyer","Abbey Lincoln","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Kendra Shank","John Ormond","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
