"id","instrument","year"
"Abbey Lincoln","Vocals","1990s-2000s"
"John Ormond","Bass","1990s-2000s"
"Brandon McCune","Piano","1990s-2000s"
"Jaz Sawyer","Drums","1990s-2000s"
"Marc Cary","Piano","1990s-2000s"
"Jennifer Vincent","Cello","1990s-2000s"
"Joe Lovano","Tenor Sax","1990s-2000s"
"Kendra Shank","Guitar","1990s-2000s"
"Jerry Gonzalez","Trumpet","1990s-2000s"
"Alvester Garnett","Drums","1990s-2000s"
"Rodney Kendrick","Piano","1990s-2000s"
"Stacie Precia","Vocals","1990s-2000s"
"Michael Bowie","Bass","1990s-2000s"
"Bemshee Shirer","Vocals","1990s-2000s"
"Kahlil Kwame Bell","Percussion","1990s-2000s"
"Steve Coleman","Alto Sax","1990s-2000s"
"Freddy Cole","Vocals","1990s-2000s"
"Savion Glover","Dance","1990s-2000s"
"Frank Owens","Piano","1990s-2000s"
"James Weidman","Piano","1990s-2000s"
"John Lampkin","Drums","1990s-2000s"
"Joe Lovano","Soprano Sax","1990s-2000s"
"Abbey Lincoln","Speaking","1990s-2000s"
"Abbey Lincoln","Vocals","1950s-1960s"
"Max Roach","Drums","1950s-1960s"
"Julian Priester","Trombone","1950s-1960s"
"Booker Little","Trumpet","1950s-1960s"
"Walter Benton","Tenor Sax","1950s-1960s"
"James Schenk","Bass","1950s-1960s"
"Coleman Hawkins","Tenor Sax","1950s-1960s"
"Stanley Turrentine","Tenor Sax","1950s-1960s"
"Tommy Turrentine","Trumpet","1950s-1960s"
"Cedar Walton","Piano","1950s-1960s"
"Bobby Boswell","Bass","1950s-1960s"
"Aaron Walker","Drums","1990s-2000s"
"Peck Morrison","Bass","1950s-1960s"
"Kenny Dorham","Trumpet","1950s-1960s"
"Benny Bailey","Trumpet","1950s-1960s"
"Eric Dolphy","Alto Sax","1950s-1960s"
"Jo Jones","Drums","1950s-1960s"
"Cecil Payne","Baritone Sax","1950s-1960s"
"Ray Mantilla","Percussion","1950s-1960s"
"Babatunde Olatunji","Percussion","1950s-1960s"
"Thomas Du Vall","Percussion","1950s-1960s"
"Philly Joe Jones","Drums","1950s-1960s"
"Wynton Kelly","Piano","1950s-1960s"
"Sam Jones","Bass","1950s-1960s"
"Les Spann","Flute","1950s-1960s"
"Phil Wright","Piano","1950s-1960s"
"Les Spann","Guitar","1950s-1960s"
"Ray Bryant","Piano","1950s-1960s"
"Roebuck 'Pops' Staple","Vocals","1990s-2000s"
"Kehinde O'Uhuru","Percussion","1990s-2000s"
"Maxine Roach","Viola","1990s-2000s"
"Stanley Turrentine","Tenor Sax","1990s-2000s"
"Babatunde Olatunji","Percussion","1990s-2000s"
"Grady Tate","Drums","1990s-2000s"
"Mavis Staple","Vocals","1990s-2000s"
"Randolph Noel","Conductor","1990s-2000s"
"J. J. Johnson","Trombone","1990s-2000s"
"The Noel Singers","Vocals","1990s-2000s"
"Gordy Ryan","Percussion","1990s-2000s"
"Yoron Israel","Drums","1990s-2000s"
"Marcus McLaurine","Bass","1990s-2000s"
"Cleotha Staple","Vocals","1990s-2000s"
"Sulé O'Uhuru","Percussion","1990s-2000s"
"Hank Jones","Piano","1990s-2000s"
"Billy Johnson","Bass","1990s-2000s"
"Mark Johnson","Drums","1990s-2000s"
"Robert Whitley","Percussion","1950s-1960s"
"Eric Dolphy","Piccolo","1950s-1960s"
"Art Davis","Bass","1950s-1960s"
"Roger 'Montego Joe' Sanders","Percussion","1950s-1960s"
"Mal Waldron","Piano","1950s-1960s"
"Mark Helias","Bass","1990s-2000s"
"James Weidman","Piano","1970s-1980s"
"Harold Vick","Tenor Sax","1970s-1980s"
"Tarik Shah","Bass","1970s-1980s"
"Mark Johnson","Drums","1970s-1980s"
"Abbey Lincoln","Vocals","1970s-1980s"
"Billy Johnson","Bass","1970s-1980s"
"Bemshee Shirer","Vocals","1970s-1980s"
"Cassandra Wilson","Vocals","1970s-1980s"
"Steve Coleman","Alto Sax","1970s-1980s"
"Arlene Knox","Vocals","1970s-1980s"
"Naima Williams","Vocals","1970s-1980s"
"Jerry Gonzalez","Percussion","1970s-1980s"
"Archie Shepp","Tenor Sax","1970s-1980s"
"Santi Debriano","Bass","1970s-1980s"
"Mal Waldron","Piano","1970s-1980s"
"Marvin 'Smitty' Smith","Drums","1970s-1980s"
"Billy Higgins","Drums","1970s-1980s"
"Cedar Walton","Piano","1970s-1980s"
"Bob Berg","Tenor Sax","1970s-1980s"
"David Williams","Bass","1970s-1980s"
"Jack Gregg","Bass","1970s-1980s"
"Hilton Ruiz","Piano","1970s-1980s"
"Archie Shepp","Soprano Sax","1970s-1980s"
"Roy Burrowes","Trumpet","1970s-1980s"
"Freddie Waits","Drums","1970s-1980s"
"John Duke","Bass","1970s-1980s"
"Wayne Wright","Piano","1970s-1980s"
"Doug Sides","Drums","1970s-1980s"
"Kunimitsu Inaba","Bass","1970s-1980s"
"Dave Liebman","Flute","1970s-1980s"
"James Mtume Foreman","Percussion","1970s-1980s"
"Hiromasa Suzuki","Piano","1970s-1980s"
"Al Foster","Drums","1970s-1980s"
"Gerald Wilson","Trumpet","1950s-1960s"
"Buddy Collette","Flute","1950s-1960s"
"Red Callender","Bass","1950s-1960s"
"Al Viola","Guitar","1950s-1960s"
"Earl Palmer","Drums","1950s-1960s"
"Carlos 'Patato' Valdés","Percussion","1950s-1960s"
"Carlos Eugenio","Percussion","1950s-1960s"
"Clifford Jordan","Tenor Sax","1950s-1960s"
"Paul Chambers","Bass","1950s-1960s"
"Jerome Richardson","Flute","1950s-1960s"
"Curtis Fuller","Trombone","1950s-1960s"
"Benny Golson","Tenor Sax","1950s-1960s"
"Blinky Allen","Drums","1950s-1960s"
"Stan Getz","Tenor Sax","1990s-2000s"
"Charlie Haden","Bass","1990s-2000s"
"Billy Higgins","Drums","1990s-2000s"
"Jackie McLean","Alto Sax","1990s-2000s"
"Wynton Marsalis","Trumpet","1990s-2000s"
