"id","instrument","year"
"Abbey Lincoln","Vocals","1950s-1960s"
"Max Roach","Drums","1950s-1960s"
"Julian Priester","Trombone","1950s-1960s"
"Booker Little","Trumpet","1950s-1960s"
"Walter Benton","Tenor Sax","1950s-1960s"
"James Schenk","Bass","1950s-1960s"
"Coleman Hawkins","Tenor Sax","1950s-1960s"
"Stanley Turrentine","Tenor Sax","1950s-1960s"
"Tommy Turrentine","Trumpet","1950s-1960s"
"Cedar Walton","Piano","1950s-1960s"
"Bobby Boswell","Bass","1950s-1960s"
"Peck Morrison","Bass","1950s-1960s"
"Kenny Dorham","Trumpet","1950s-1960s"
"Benny Bailey","Trumpet","1950s-1960s"
"Eric Dolphy","Alto Sax","1950s-1960s"
"Jo Jones","Drums","1950s-1960s"
"Cecil Payne","Baritone Sax","1950s-1960s"
"Ray Mantilla","Percussion","1950s-1960s"
"Babatunde Olatunji","Percussion","1950s-1960s"
"Thomas Du Vall","Percussion","1950s-1960s"
"Philly Joe Jones","Drums","1950s-1960s"
"Wynton Kelly","Piano","1950s-1960s"
"Sam Jones","Bass","1950s-1960s"
"Les Spann","Flute","1950s-1960s"
"Phil Wright","Piano","1950s-1960s"
"Les Spann","Guitar","1950s-1960s"
"Ray Bryant","Piano","1950s-1960s"
"Robert Whitley","Percussion","1950s-1960s"
"Eric Dolphy","Piccolo","1950s-1960s"
"Art Davis","Bass","1950s-1960s"
"Roger 'Montego Joe' Sanders","Percussion","1950s-1960s"
"Mal Waldron","Piano","1950s-1960s"
"Gerald Wilson","Trumpet","1950s-1960s"
"Buddy Collette","Flute","1950s-1960s"
"Red Callender","Bass","1950s-1960s"
"Al Viola","Guitar","1950s-1960s"
"Earl Palmer","Drums","1950s-1960s"
"Carlos 'Patato' Valdés","Percussion","1950s-1960s"
"Carlos Eugenio","Percussion","1950s-1960s"
"Clifford Jordan","Tenor Sax","1950s-1960s"
"Paul Chambers","Bass","1950s-1960s"
"Jerome Richardson","Flute","1950s-1960s"
"Curtis Fuller","Trombone","1950s-1960s"
"Benny Golson","Tenor Sax","1950s-1960s"
"Blinky Allen","Drums","1950s-1960s"
"Coleridge-Taylor Perkinson","Piano","1950s-1960s"
"Eddie Khan","Bass","1950s-1960s"
"Lonnie Liston Smith","Piano","1950s-1960s"
"Franco D'Andrea","Piano","1950s-1960s"
"Steve Lacy","Soprano Sax","1950s-1960s"
"Giovanni Tommaso","Bass","1950s-1960s"
"Earl Baker","Vocals","1950s-1960s"
"Coleridge-Taylor Perkinson","Conductor","1950s-1960s"
"Richard Williams","Trumpet","1950s-1960s"
"Ronnie Mathews","Piano","1950s-1960s"
"Sahib Shihab","Flute","1950s-1960s"
"Art Farmer","Trumpet","1950s-1960s"
"Sonny Rollins","Tenor Sax","1950s-1960s"
